zip,ev_2025,ev_2021,station_count,l2_ports,dcfc_ports,total_ports,total_ports_2021,city
94129,300,111,6,14,6,20,8,San Francisco
94130,109,27,0,0,0,0,0,
94131,2859,1098,1,2,0,2,0,San Francisco
94132,1613,419,25,55,3,58,18,San Francisco
94133,908,305,6,10,0,10,1,San Francisco
94134,1987,490,0,0,0,0,0,
94140,1,0,0,0,0,0,0,
94141,12,1,0,0,0,0,0,
94142,2,0,0,0,0,0,0,
94143,8,0,4,8,0,8,2,San Francisco
94146,4,1,0,0,0,0,0,
94147,14,2,0,0,0,0,0,
94148,0,1,0,0,0,0,0,
94158,733,278,90,185,0,185,42,San Francisco
94159,3,2,0,0,0,0,0,
94164,2,1,0,0,0,0,0,
94172,2,1,0,0,0,0,0,
94188,21,6,0,0,0,0,0,
94203,2,0,0,0,0,0,0,
94214,2,1,0,0,0,0,0,
94218,1,0,0,0,0,0,0,
94232,1,2,0,0,0,0,0,
94244,22,10,0,0,0,0,0,
94296,5,0,0,0,0,0,0,
94297,2,1,0,0,0,0,0,
94301,2945,1406,30,99,20,119,26,Palo Alto
94302,16,7,0,0,0,0,0,
94303,4336,1707,24,66,39,105,33,Palo Alto
94304,2667,151,70,153,26,179,40,Palo Alto
94305,722,235,54,106,0,106,20,Stanford
94306,4323,1704,86,187,0,187,59,Palo Alto
94309,13,8,0,0,0,0,0,
94337,1,0,0,0,0,0,0,
94401,1835,575,38,115,2,117,8,San Mateo
94402,3308,1188,60,101,20,121,10,San Mateo
94403,4286,1341,139,272,118,390,50,San Mateo
94404,4455,1529,67,141,30,171,20,Foster City
94458,0,1,0,0,0,0,0,
94494,0,1,0,0,0,0,0,
94496,0,1,0,0,0,0,0,
94501,4604,1626,26,47,29,76,22,Alameda
94502,1627,609,25,48,0,48,8,Alameda
94503,1442,368,19,34,0,34,2,American Canyon
94504,1,1,0,0,0,0,0,
94505,1004,292,0,0,0,0,0,
94506,4282,1410,2,2,16,18,0,Danville
94507,2332,833,2,2,16,18,0,Alamo
94508,147,51,1,2,0,2,2,Angwin
94509,1658,376,13,18,21,39,6,Antioch
94510,1861,715,6,8,16,24,3,Benicia
94511,116,14,0,0,0,0,0,
94512,1,0,0,0,0,0,0,
94513,4806,1185,29,62,32,94,6,Brentwood
94514,18,5,1,2,0,2,0,Byron
94515,363,107,21,44,0,44,38,Calistoga
94516,22,6,0,0,0,0,0,
94517,856,280,0,0,0,0,0,
94518,1437,383,0,0,0,0,0,
94519,860,243,2,2,4,6,2,Concord
94520,1135,309,21,30,67,97,32,Concord
94521,2309,592,6,7,17,24,6,Concord
94522,10,3,0,0,0,0,0,
94523,2577,718,22,38,15,53,20,Pleasant Hill
